price,date
97989.80324325046,2025-01-04
98229.78509982131,2025-01-04
98190.49162618496,2025-01-04
97962.68646367331,2025-01-04
98100.6248273594,2025-01-04
98080.86063193035,2025-01-04
98255.74807771541,2025-01-04
97864.44010847888,2025-01-04
97647.46657394528,2025-01-04
97795.825987815,2025-01-04
97853.76686652648,2025-01-04
97856.31687651748,2025-01-04
97942.47649161342,2025-01-04
98010.6769451407,2025-01-04
97660.40165094685,2025-01-04
97691.11742542221,2025-01-04
98014.12082953732,2025-01-04
97953.72772508916,2025-01-04
98176.837933377,2025-01-04
98597.6977847324,2025-01-04
98329.92730280086,2025-01-04
98318.61063470066,2025-01-04
98210.98449148156,2025-01-05
98200.77190728656,2025-01-05
98118.75309342929,2025-01-05
98209.76129204805,2025-01-05
98166.25388666027,2025-01-05
98328.29404861871,2025-01-05
98332.78555774728,2025-01-05
98432.36636681829,2025-01-05
98245.8124815799,2025-01-05
97817.76442513157,2025-01-05
97637.68706954738,2025-01-05
97704.45434248327,2025-01-05
97597.29563822695,2025-01-05
97717.84167711719,2025-01-05
97752.80292917966,2025-01-05
97903.35804252714,2025-01-05
97980.05447935619,2025-01-05
98006.42767299642,2025-01-05
97736.80879324183,2025-01-05
97879.65721104095,2025-01-05
98030.12971663495,2025-01-05
98258.37175821283,2025-01-05
98480.67704270713,2025-01-05
98674.4717793097,2025-01-05
98349.76145610317,2025-01-06
98260.4555439427,2025-01-06
98932.73270483148,2025-01-06
98768.96235574882,2025-01-06
98996.27552480306,2025-01-06
99458.00579391218,2025-01-06
99706.8161068128,2025-01-06
99678.90079062301,2025-01-06
99308.86949024674,2025-01-06
99000.95329517599,2025-01-06
98972.82404598132,2025-01-06
98752.11208410464,2025-01-06
99223.43302212954,2025-01-06
99144.54228452529,2025-01-06
99466.47680683126,2025-01-06
100874.63201501672,2025-01-06
102131.74516597329,2025-01-06
102145.57789138574,2025-01-06
101887.68318378263,2025-01-06
101824.43111276487,2025-01-06
101850.88874261513,2025-01-06
102183.66913674261,2025-01-06
101632.17266437788,2025-01-06
102079.84721178016,2025-01-06
102290.36168484877,2025-01-07
102245.05013540204,2025-01-07
102015.32717479885,2025-01-07
101719.9724022097,2025-01-07
101743.39296014521,2025-01-07
101684.64989693496,2025-01-07
101740.98718316638,2025-01-07
101798.19542748286,2025-01-07
101708.38722075586,2025-01-07
101909.84804423121,2025-01-07
101720.2708205161,2025-01-07
101398.1935282323,2025-01-07
100866.59578639524,2025-01-07
100726.84746793781,2025-01-07
100639.48658873924,2025-01-07
99921.93924248953,2025-01-07
98101.03617778444,2025-01-07
97531.45367817038,2025-01-07
97237.5420586588,2025-01-07
96858.74835782654,2025-01-07
96372.8695370962,2025-01-07
96455.16570172853,2025-01-07
96568.91903189495,2025-01-07
96966.665012435,2025-01-07
96952.09886774956,2025-01-08
97121.19853102187,2025-01-08
96652.02430379184,2025-01-08
96866.90619758787,2025-01-08
96524.40069673363,2025-01-08
96273.49743248695,2025-01-08
96493.0488164961,2025-01-08
95259.11661038516,2025-01-08
95752.43062955243,2025-01-08
95936.07758767459,2025-01-08
95440.01590966791,2025-01-08
95964.42593086681,2025-01-08
95094.07398122773,2025-01-08
94910.81444041098,2025-01-08
95235.62326380426,2025-01-08
95326.94692419912,2025-01-08
95400.85484311239,2025-01-08
94742.14733612606,2025-01-08
94130.65825495949,2025-01-08
94214.6539490834,2025-01-08
94222.93830354116,2025-01-08
94118.38414972041,2025-01-08
94477.56220375413,2025-01-08
95292.19594677552,2025-01-08
95031.89727927743,2025-01-09
95105.94661602686,2025-01-09
94981.77510307213,2025-01-09
94670.15165914538,2025-01-09
93973.42069248288,2025-01-09
94371.14988852509,2025-01-09
94413.64147771963,2025-01-09
94045.29022306183,2025-01-09
93181.25750394873,2025-01-09
92983.14270516166,2025-01-09
93491.25888436915,2025-01-09
93395.83535425988,2025-01-09
93397.66850377186,2025-01-09
93364.89605317505,2025-01-09
91925.57782676253,2025-01-09
92745.1184717717,2025-01-09
94561.4894565884,2025-01-09
94224.83975755278,2025-01-09
92662.36025731087,2025-01-09
93043.03727491375,2025-01-09
92041.9420888766,2025-01-09
91914.30519556114,2025-01-09
92281.42649677649,2025-01-09
92449.05943331719,2025-01-09
92376.27578346101,2025-01-10
92750.12255307917,2025-01-10
93006.12875184679,2025-01-10
93320.2434117482,2025-01-10
93710.88128860826,2025-01-10
93800.12976037012,2025-01-10
93933.23991472083,2025-01-10
94162.5651957081,2025-01-10
94550.76661253635,2025-01-10
94683.1532934011,2025-01-10
94791.497381677,2025-01-10
95039.77578576424,2025-01-10
95027.59771977237,2025-01-10
95033.36476789693,2025-01-10
93543.97537165566,2025-01-10
94051.08752659352,2025-01-10
93659.10392114127,2025-01-10
93770.27997835191,2025-01-10
95798.50871308251,2025-01-10
94841.516564267,2025-01-10
95288.32957386163,2025-01-10
94749.6380033532,2025-01-10
94615.50274968399,2025-01-10
94761.41483693405,2025-01-10
94736.6267420969,2025-01-11
94588.12034376372,2025-01-11
94409.84496898168,2025-01-11
94439.39456775342,2025-01-11
94180.36567762114,2025-01-11
94046.21843762376,2025-01-11
94385.44798943955,2025-01-11
94246.67844372314,2025-01-11
94214.66493661447,2025-01-11
94005.11402214876,2025-01-11
94323.92594621287,2025-01-11
94480.35066525104,2025-01-11
94587.61213624186,2025-01-11
94554.37202319445,2025-01-11
94391.54571357903,2025-01-11
94595.55172876698,2025-01-11
94373.32093729395,2025-01-11
94411.91553453926,2025-01-11
94090.32522828647,2025-01-11
94236.98647243754,2025-01-11
94202.518354446,2025-01-11
94561.03444332824,2025-01-11
94908.52887829034,2025-01-11
94565.96347474444,2025-01-11
94572.19295828749,2025-01-12
94342.7718499486,2025-01-12
94536.89752196113,2025-01-12
94598.60594893617,2025-01-12
94565.80576126037,2025-01-12
94473.51645693358,2025-01-12
94488.70417581518,2025-01-12
94379.41910441955,2025-01-12
94269.08776026823,2025-01-12
94120.71507832203,2025-01-12
93857.34535112529,2025-01-12
93973.60002136382,2025-01-12
94203.80630265319,2025-01-12
94255.24861633297,2025-01-12
94612.20014403955,2025-01-12
94762.22675114391,2025-01-12
95011.90335368075,2025-01-12
94940.61616931802,2025-01-12
95116.66736517011,2025-01-12
94918.71731944467,2025-01-12
94576.45970517748,2025-01-12
94657.53871057613,2025-01-12
94290.51967369077,2025-01-12
93873.37040550246,2025-01-12
94454.77089638807,2025-01-13
95230.50136357336,2025-01-13
94129.18563934106,2025-01-13
94124.68513319505,2025-01-13
94466.35491829069,2025-01-13
94137.938359676,2025-01-13
93330.90109420891,2025-01-13
93493.69014743694,2025-01-13
92923.16432445054,2025-01-13
92965.67305622298,2025-01-13
91618.16277553422,2025-01-13
91066.50969072059,2025-01-13
90897.722821227,2025-01-13
91046.88264301587,2025-01-13
91673.98885470458,2025-01-13
92196.84406025457,2025-01-13
91203.86504365341,2025-01-13
91929.4735169686,2025-01-13
92048.18959367441,2025-01-13
92270.75674260661,2025-01-13
93565.16184051157,2025-01-13
94163.89074775224,2025-01-13
94358.10541149687,2025-01-13
94504.26849514963,2025-01-14
94451.91272177773,2025-01-14
94804.22561805036,2025-01-14
94883.68177638578,2025-01-14
94835.87012890847,2025-01-14
95164.61606201969,2025-01-14
94861.40427632442,2025-01-14
95026.56634935715,2025-01-14
94835.05605501651,2025-01-14
95629.83923389435,2025-01-14
97094.58071458963,2025-01-14
96632.48456504791,2025-01-14
96497.89985560528,2025-01-14
95944.70227292187,2025-01-14
96294.5147067344,2025-01-14
96149.71628658813,2025-01-14
96378.29791315526,2025-01-14
95703.54557746142,2025-01-14
96479.71578368786,2025-01-14
96725.04207974242,2025-01-14
96445.88153298218,2025-01-14
96376.90845087137,2025-01-14
96436.0987455667,2025-01-14
96732.3889915353,2025-01-14
96535.26005426567,2025-01-15
96898.59910352033,2025-01-15
97319.90221599893,2025-01-15
96793.91016297831,2025-01-15
97344.12825674939,2025-01-15
97152.95580661457,2025-01-15
96975.82520640592,2025-01-15
97070.2794164871,2025-01-15
97253.12746750425,2025-01-15
97164.45043723319,2025-01-15
96767.4148350854,2025-01-15
96973.352177932,2025-01-15
96733.2206123082,2025-01-15
96860.46404141473,2025-01-15
99009.34518592388,2025-01-15
99698.21009750044,2025-01-15
99020.1903405399,2025-01-15
99059.52193283464,2025-01-15
98587.29406546001,2025-01-15
99424.49575228071,2025-01-15
99895.53095971681,2025-01-15
99552.02519007656,2025-01-15
99682.76797759626,2025-01-15
99725.40578888806,2025-01-15
100554.74910518984,2025-01-16
99872.64953934235,2025-01-16
100070.56672454652,2025-01-16
99630.51544331563,2025-01-16
99439.88898395892,2025-01-16
99587.38224559338,2025-01-16
99368.90225582317,2025-01-16
99764.60640651133,2025-01-16
99739.74868905671,2025-01-16
98969.27851480305,2025-01-16
99119.30544691836,2025-01-16
99175.81276396391,2025-01-16
99136.88555434979,2025-01-16
99365.30032161868,2025-01-16
99020.76827900368,2025-01-16
97532.25346033007,2025-01-16
99184.80509513128,2025-01-16
99454.01193663836,2025-01-16
99946.48723935365,2025-01-16
99556.10838859396,2025-01-16
100377.75137459932,2025-01-16
100376.57643817428,2025-01-16
100078.78309833872,2025-01-16
99877.5171161229,2025-01-16
99977.5043880182,2025-01-17
100136.85201437982,2025-01-17
101711.2074763743,2025-01-17
100922.94387590281,2025-01-17
101017.72621672494,2025-01-17
101472.95109233055,2025-01-17
101323.58976179131,2025-01-17
101379.5988448226,2025-01-17
101529.03229986163,2025-01-17
102125.38053312013,2025-01-17
101924.67840754567,2025-01-17
102243.20379737619,2025-01-17
102254.35493395521,2025-01-17
102766.20386573607,2025-01-17
102659.3182258968,2025-01-17
102994.50779036949,2025-01-17
103992.60133717468,2025-01-17
105079.04362992843,2025-01-17
104135.15109877157,2025-01-17
104869.64731855925,2025-01-17
105850.05041675539,2025-01-17
104720.97204550826,2025-01-17
104604.0491255822,2025-01-17
104347.54717350486,2025-01-17
104125.16350264964,2025-01-18
104649.37697946737,2025-01-18
104302.30585740918,2025-01-18
104270.12396931878,2025-01-18
103595.00034193484,2025-01-18
103572.13908788774,2025-01-18
102721.6188330088,2025-01-18
103403.60335414654,2025-01-18
102777.51756053416,2025-01-18
103267.53002630705,2025-01-18
103164.20680427943,2025-01-18
103119.47099954754,2025-01-18
103518.15895444644,2025-01-18
103386.25469855574,2025-01-18
